matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20251FISIC0043,,,Campus Cariacica,F,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20251ECON0257,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20161ENPRO0475,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2016/1,,
20251BAFIS0052,,,Campus Cariacica,M,,Bacharelado em Física,Integral,,2025/1,,
20191ENPRO0191,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2019/1,,
20231ENPRO0038,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20191ENPRO0396,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2019/1,,
20211ENPRO0122,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2021/1,,
20241ECON0232,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20241ENPRO0132,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20181ENPRO0022,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2018/1,,
20201ENPRO0168,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20221FISIC0220,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2022/1,,
20181ENPRO0023,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2018/1,,
20251ENPRO0458,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20221ENPRO0049,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20171ENPRO0510,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2017/1,,
20201FISIC0233,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2020/1,,
20191ENPRO0060,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2019/1,,
20211FISIC0036,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2021/1,,
20241ENPRO0477,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20221ENPRO0146,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20241FISIC0046,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2024/1,,
20151ENPRO0273,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2015/1,,
20221ENPRO0022,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20241ENPRO0558,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20211BAFIS0003,,,Campus Cariacica,M,,Bacharelado em Física,Diurno,,2021/1,,
20241ECON0240,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20191FISIC0275,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2019/1,,
20251ECON0559,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20231FISIC0456,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2023/1,,
